date,44 BEVERAGES,44 GROCERY I,44 PRODUCE,45 BEVERAGES,45 GROCERY I,45 PRODUCE
2013-02-24,0,0,0,0,0,0
2013-02-25,0,0,0,0,0,0
2013-02-26,0,0,0,0,0,0
2013-02-27,0,0,0,0,0,0
2013-02-28,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0
2013-03-02,0,0,0,0,0,0
2013-03-03,0,0,0,0,0,0
2013-03-04,0,0,0,0,0,0
2013-03-05,0,0,0,0,0,0
2013-03-06,0,0,0,0,0,0
2013-03-07,0,0,0,0,0,0
2013-03-08,0,0,0,0,0,0
2013-03-09,0,0,0,0,0,0
2013-03-10,0,0,0,0,0,0
2013-03-11,0,0,0,0,0,0
2013-03-12,0,0,0,0,0,0
2013-03-13,0,0,0,0,0,0
2013-03-14,0,0,0,0,0,0
2013-03-15,0,0,0,0,0,0
2013-03-16,0,0,0,0,0,0
2013-03-17,0,0,0,0,0,0
2013-03-18,0,0,0,0,0,0
2013-03-19,0,0,0,0,0,0
2013-03-20,0,0,0,0,0,0
2013-03-21,0,0,0,0,0,0
2013-03-22,0,0,0,0,0,0
2013-03-23,0,0,0,0,0,0
2013-03-24,0,0,0,0,0,0
2013-03-25,0,0,0,0,0,0
2013-03-26,0,0,0,0,0,0
2013-03-27,0,0,0,0,0,0
2013-03-28,0,0,0,0,0,0
2013-03-29,0,0,0,0,0,0
2013-03-30,0,0,0,0,0,0
2013-03-31,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0
2013-04-02,0,0,0,0,0,0
2013-04-03,0,0,0,0,0,0
2013-04-04,0,0,0,0,0,0
2013-04-05,0,0,0,0,0,0
2013-04-06,0,0,0,0,0,0
2013-04-07,0,0,0,0,0,0
2013-04-08,0,0,0,0,0,0
2013-04-09,0,0,0,0,0,0
2013-04-10,0,0,0,0,0,0
2013-04-11,0,0,0,0,0,0
2013-04-12,0,0,0,0,0,0
2013-04-13,0,0,0,0,0,0
2013-04-14,0,0,0,0,0,0
2013-04-15,0,0,0,0,0,0
2013-04-16,0,0,0,0,0,0
2013-04-17,0,0,0,0,0,0
2013-04-18,0,0,0,0,0,0
2013-04-19,0,0,0,0,0,0
2013-04-20,0,0,0,0,0,0
2013-04-21,0,0,0,0,0,0
2013-04-22,0,0,0,0,0,0
2013-04-23,0,0,0,0,0,0
2013-04-24,0,0,0,0,0,0
2013-04-25,0,0,0,0,0,0
2013-04-26,0,0,0,0,0,0
2013-04-27,0,0,0,0,0,0
2013-04-28,0,0,0,0,0,0
2013-04-29,0,0,0,0,0,0
2013-04-30,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0
2013-05-02,0,0,0,0,0,0
2013-05-03,0,0,0,0,0,0
2013-05-04,0,0,0,0,0,0
2013-05-05,0,0,0,0,0,0
2013-05-06,0,0,0,0,0,0
2013-05-07,0,0,0,0,0,0
2013-05-08,0,0,0,0,0,0
2013-05-09,0,0,0,0,0,0
2013-05-10,0,0,0,0,0,0
2013-05-11,0,0,0,0,0,0
2013-05-12,0,0,0,0,0,0
2013-05-13,0,0,0,0,0,0
2013-05-14,0,0,0,0,0,0
2013-05-15,0,0,0,0,0,0
2013-05-16,0,0,0,0,0,0
2013-05-17,0,0,0,0,0,0
2013-05-18,0,0,0,0,0,0
2013-05-19,0,0,0,0,0,0
2013-05-20,0,0,0,0,0,0
2013-05-21,0,0,0,0,0,0
2013-05-22,0,0,0,0,0,0
2013-05-23,0,0,0,0,0,0
2013-05-24,0,0,0,0,0,0
2013-05-25,0,0,0,0,0,0
2013-05-26,0,0,0,0,0,0
2013-05-27,0,0,0,0,0,0
2013-05-28,0,0,0,0,0,0
2013-05-29,0,0,0,0,0,0
2013-05-30,0,0,0,0,0,0
2013-05-31,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0
2013-06-02,0,0,0,0,0,0
2013-06-03,0,0,0,0,0,0
2013-06-04,0,0,0,0,0,0
2013-06-05,0,0,0,0,0,0
2013-06-06,0,0,0,0,0,0
2013-06-07,0,0,0,0,0,0
2013-06-08,0,0,0,0,0,0
2013-06-09,0,0,0,0,0,0
2013-06-10,0,0,0,0,0,0
2013-06-11,0,0,0,0,0,0
2013-06-12,0,0,0,0,0,0
2013-06-13,0,0,0,0,0,0
2013-06-14,0,0,0,0,0,0
2013-06-15,0,0,0,0,0,0
2013-06-16,0,0,0,0,0,0
2013-06-17,0,0,0,0,0,0
2013-06-18,0,0,0,0,0,0
2013-06-19,0,0,0,0,0,0
2013-06-20,0,0,0,0,0,0
2013-06-21,0,0,0,0,0,0
2013-06-22,0,0,0,0,0,0
2013-06-23,0,0,0,0,0,0
2013-06-24,0,0,0,0,0,0
2013-06-25,0,0,0,0,0,0
2013-06-26,0,0,0,0,0,0
2013-06-27,0,0,0,0,0,0
2013-06-28,0,0,0,0,0,0
2013-06-29,0,0,0,0,0,0
2013-06-30,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0
2013-07-02,0,0,0,0,0,0
2013-07-03,0,0,0,0,0,0
2013-07-04,0,0,0,0,0,0
2013-07-05,0,0,0,0,0,0
2013-07-06,0,0,0,0,0,0
2013-07-07,0,0,0,0,0,0
2013-07-08,0,0,0,0,0,0
2013-07-09,0,0,0,0,0,0
2013-07-10,0,0,0,0,0,0
2013-07-11,0,0,0,0,0,0
2013-07-12,0,0,0,0,0,0
2013-07-13,0,0,0,0,0,0
2013-07-14,0,0,0,0,0,0
2013-07-15,0,0,0,0,0,0
2013-07-16,0,0,0,0,0,0
2013-07-17,0,0,0,0,0,0
2013-07-18,0,0,0,0,0,0
2013-07-19,0,0,0,0,0,0
2013-07-20,0,0,0,0,0,0
2013-07-21,0,0,0,0,0,0
2013-07-22,0,0,0,0,0,0
2013-07-23,0,0,0,0,0,0
2013-07-24,0,0,0,0,0,0
2013-07-25,0,0,0,0,0,0
2013-07-26,0,0,0,0,0,0
2013-07-27,0,0,0,0,0,0
2013-07-28,0,0,0,0,0,0
2013-07-29,0,0,0,0,0,0
2013-07-30,0,0,0,0,0,0
2013-07-31,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0
2013-08-02,0,0,0,0,0,0
2013-08-03,0,0,0,0,0,0
2013-08-04,0,0,0,0,0,0
2013-08-05,0,0,0,0,0,0
2013-08-06,0,0,0,0,0,0
2013-08-07,0,0,0,0,0,0
2013-08-08,0,0,0,0,0,0
2013-08-09,0,0,0,0,0,0
2013-08-10,0,0,0,0,0,0
2013-08-11,0,0,0,0,0,0
2013-08-12,0,0,0,0,0,0
2013-08-13,0,0,0,0,0,0
2013-08-14,0,0,0,0,0,0
2013-08-15,0,0,0,0,0,0
2013-08-16,0,0,0,0,0,0
2013-08-17,0,0,0,0,0,0
2013-08-18,0,0,0,0,0,0
2013-08-19,0,0,0,0,0,0
2013-08-20,0,0,0,0,0,0
2013-08-21,0,0,0,0,0,0
2013-08-22,0,0,0,0,0,0
2013-08-23,0,0,0,0,0,0
2013-08-24,0,0,0,0,0,0
2013-08-25,0,0,0,0,0,0
2013-08-26,0,0,0,0,0,0
2013-08-27,0,0,0,0,0,0
2013-08-28,0,0,0,0,0,0
2013-08-29,0,0,0,0,0,0
2013-08-30,0,0,0,0,0,0
2013-08-31,0,0,0,0,0,0
2013-09-01,0,0,0,0,0,0
2013-09-02,0,0,0,0,0,0
2013-09-03,0,0,0,0,0,0
2013-09-04,0,0,0,0,0,0
2013-09-05,0,0,0,0,0,0
2013-09-06,0,0,0,0,0,0
2013-09-07,0,0,0,0,0,0
2013-09-08,0,0,0,0,0,0
2013-09-09,0,0,0,0,0,0
2013-09-10,0,0,0,0,0,0
2013-09-11,0,0,0,0,0,0
2013-09-12,0,0,0,0,0,0
2013-09-13,0,0,0,0,0,0
2013-09-14,0,0,0,0,0,0
2013-09-15,0,0,0,0,0,0
2013-09-16,0,0,0,0,0,0
2013-09-17,0,0,0,0,0,0
2013-09-18,0,0,0,0,0,0
2013-09-19,0,0,0,0,0,0
2013-09-20,0,0,0,0,0,0
2013-09-21,0,0,0,0,0,0
2013-09-22,0,0,0,0,0,0
2013-09-23,0,0,0,0,0,0
2013-09-24,0,0,0,0,0,0
2013-09-25,0,0,0,0,0,0
2013-09-26,0,0,0,0,0,0
2013-09-27,0,0,0,0,0,0
2013-09-28,0,0,0,0,0,0
2013-09-29,0,0,0,0,0,0
2013-09-30,0,0,0,0,0,0
2013-10-01,0,0,0,0,0,0
2013-10-02,0,0,0,0,0,0
2013-10-03,0,0,0,0,0,0
2013-10-04,0,0,0,0,0,0
2013-10-05,0,0,0,0,0,0
2013-10-06,0,0,0,0,0,0
2013-10-07,0,0,0,0,0,0
2013-10-08,0,0,0,0,0,0
2013-10-09,0,0,0,0,0,0
2013-10-10,0,0,0,0,0,0
2013-10-11,0,0,0,0,0,0
2013-10-12,0,0,0,0,0,0
2013-10-13,0,0,0,0,0,0
2013-10-14,0,0,0,0,0,0
2013-10-15,0,0,0,0,0,0
2013-10-16,0,0,0,0,0,0
2013-10-17,0,0,0,0,0,0
2013-10-18,0,0,0,0,0,0
2013-10-19,0,0,0,0,0,0
2013-10-20,0,0,0,0,0,0
2013-10-21,0,0,0,0,0,0
2013-10-22,0,0,0,0,0,0
2013-10-23,0,0,0,0,0,0
2013-10-24,0,0,0,0,0,0
2013-10-25,0,0,0,0,0,0
2013-10-26,0,0,0,0,0,0
2013-10-27,0,0,0,0,0,0
2013-10-28,0,0,0,0,0,0
2013-10-29,0,0,0,0,0,0
2013-10-30,0,0,0,0,0,0
2013-10-31,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0
2013-11-02,0,0,0,0,0,0
2013-11-03,0,0,0,0,0,0
2013-11-04,0,0,0,0,0,0
2013-11-05,0,0,0,0,0,0
2013-11-06,0,0,0,0,0,0
2013-11-07,0,0,0,0,0,0
2013-11-08,0,0,0,0,0,0
2013-11-09,0,0,0,0,0,0
2013-11-10,0,0,0,0,0,0
2013-11-11,0,0,0,0,0,0
2013-11-12,0,0,0,0,0,0
2013-11-13,0,0,0,0,0,0
2013-11-14,0,0,0,0,0,0
2013-11-15,0,0,0,0,0,0
2013-11-16,0,0,0,0,0,0
2013-11-17,0,0,0,0,0,0
2013-11-18,0,0,0,0,0,0
2013-11-19,0,0,0,0,0,0
2013-11-20,0,0,0,0,0,0
2013-11-21,0,0,0,0,0,0
2013-11-22,0,0,0,0,0,0
2013-11-23,0,0,0,0,0,0
2013-11-24,0,0,0,0,0,0
2013-11-25,0,0,0,0,0,0
2013-11-26,0,0,0,0,0,0
2013-11-27,0,0,0,0,0,0
2013-11-28,0,0,0,0,0,0
2013-11-29,0,0,0,0,0,0
2013-11-30,0,0,0,0,0,0
2013-12-01,0,0,0,0,0,0
2013-12-02,0,0,0,0,0,0
2013-12-03,0,0,0,0,0,0
2013-12-04,0,0,0,0,0,0
2013-12-05,0,0,0,0,0,0
2013-12-06,0,0,0,0,0,0
2013-12-07,0,0,0,0,0,0
2013-12-08,0,0,0,0,0,0
2013-12-09,0,0,0,0,0,0
2013-12-10,0,0,0,0,0,0
2013-12-11,0,0,0,0,0,0
2013-12-12,0,0,0,0,0,0
2013-12-13,0,0,0,0,0,0
2013-12-14,0,0,0,0,0,0
2013-12-15,0,0,0,0,0,0
2013-12-16,0,0,0,0,0,0
2013-12-17,0,0,0,0,0,0
2013-12-18,0,0,0,0,0,0
2013-12-19,0,0,0,0,0,0
2013-12-20,0,0,0,0,0,0
2013-12-21,0,0,0,0,0,0
2013-12-22,0,0,0,0,0,0
2013-12-23,0,0,0,0,0,0
2013-12-24,0,0,0,0,0,0
2013-12-26,0,0,0,0,0,0
2013-12-27,0,0,0,0,0,0
2013-12-28,0,0,0,0,0,0
2013-12-29,0,0,0,0,0,0
2013-12-30,0,0,0,0,0,0
2013-12-31,0,0,0,0,0,0
2014-01-01,0,0,0,0,0,0
2014-01-02,0,0,0,0,0,0
2014-01-03,0,0,0,0,0,0
2014-01-04,0,0,0,0,0,0
2014-01-05,0,0,0,0,0,0
2014-01-06,0,0,0,0,0,0
2014-01-07,0,0,0,0,0,0
2014-01-08,0,0,0,0,0,0
2014-01-09,0,0,0,0,0,0
2014-01-10,0,0,0,0,0,0
2014-01-11,0,0,0,0,0,0
2014-01-12,0,0,0,0,0,0
2014-01-13,0,0,0,0,0,0
2014-01-14,0,0,0,0,0,0
2014-01-15,0,0,0,0,0,0
2014-01-16,0,0,0,0,0,0
2014-01-17,0,0,0,0,0,0
2014-01-18,0,0,0,0,0,0
2014-01-19,0,0,0,0,0,0
2014-01-20,0,0,0,0,0,0
2014-01-21,0,0,0,0,0,0
2014-01-22,0,0,0,0,0,0
2014-01-23,0,0,0,0,0,0
2014-01-24,0,0,0,0,0,0
2014-01-25,0,0,0,0,0,0
2014-01-26,0,0,0,0,0,0
2014-01-27,0,0,0,0,0,0
2014-01-28,0,0,0,0,0,0
2014-01-29,0,0,0,0,0,0
2014-01-30,0,0,0,0,0,0
2014-01-31,0,0,0,0,0,0
2014-02-01,0,0,0,0,0,0
2014-02-02,0,0,0,0,0,0
2014-02-03,0,0,0,0,0,0
2014-02-04,0,0,0,0,0,0
2014-02-05,0,0,0,0,0,0
2014-02-06,0,0,0,0,0,0
2014-02-07,0,0,0,0,0,0
2014-02-08,0,0,0,0,0,0
2014-02-09,0,0,0,0,0,0
2014-02-10,0,0,0,0,0,0
2014-02-11,0,0,0,0,0,0
2014-02-12,0,0,0,0,0,0
2014-02-13,0,0,0,0,0,0
2014-02-14,0,0,0,0,0,0
2014-02-15,0,0,0,0,0,0
2014-02-16,0,0,0,0,0,0
2014-02-17,0,0,0,0,0,0
2014-02-18,0,0,0,0,0,0
2014-02-19,0,0,0,0,0,0
2014-02-20,0,0,0,0,0,0
2014-02-21,0,0,0,0,0,0
2014-02-22,0,0,0,0,0,0
2014-02-23,0,0,0,0,0,0
2014-02-24,0,0,0,0,0,0
2014-02-25,0,0,0,0,0,0
2014-02-26,0,0,0,0,0,0
2014-02-27,0,0,0,0,0,0
2014-02-28,0,0,0,0,0,0
2014-03-01,0,0,0,0,0,0
2014-03-02,0,0,0,0,0,0
2014-03-03,0,0,0,0,0,0
2014-03-04,0,0,0,0,0,0
2014-03-05,0,0,0,0,0,0
2014-03-06,0,0,0,0,0,0
2014-03-07,0,0,0,0,0,0
2014-03-08,0,0,0,0,0,0
2014-03-09,0,0,0,0,0,0
2014-03-10,0,0,0,0,0,0
2014-03-11,0,0,0,0,0,0
2014-03-12,0,0,0,0,0,0
2014-03-13,0,0,0,0,0,0
2014-03-14,0,0,0,0,0,0
2014-03-15,0,0,0,0,0,0
2014-03-16,0,0,0,0,0,0
2014-03-17,0,0,0,0,0,0
2014-03-18,0,0,0,0,0,0
2014-03-19,0,0,0,0,0,0
2014-03-20,0,0,0,0,0,0
2014-03-21,0,0,0,0,0,0
2014-03-22,0,0,0,0,0,0
2014-03-23,0,0,0,0,0,0
2014-03-24,0,0,0,0,0,0
2014-03-25,0,0,0,0,0,0
2014-03-26,0,0,0,0,0,0
2014-03-27,0,0,0,0,0,0
2014-03-28,0,0,0,0,0,0
2014-03-29,0,0,0,0,0,0
2014-03-30,0,0,0,0,0,0
2014-03-31,0,0,0,0,0,0
2014-04-01,0,0,0,0,0,0
2014-04-02,0,0,0,0,0,0
2014-04-03,0,0,0,0,0,0
2014-04-04,0,0,0,0,0,0
2014-04-05,0,0,0,0,0,0
2014-04-06,0,0,0,0,0,0
2014-04-07,0,0,0,0,0,0
2014-04-08,0,0,0,0,0,0
2014-04-09,0,0,0,0,0,0
2014-04-10,0,0,0,0,0,0
2014-04-11,0,0,0,0,0,0
2014-04-12,0,0,0,0,0,0
2014-04-13,0,0,0,0,0,0
2014-04-14,0,0,0,0,0,0
2014-04-15,0,0,0,0,0,0
2014-04-16,0,0,0,0,0,0
2014-04-17,0,0,0,0,0,0
2014-04-18,0,0,0,0,0,0
2014-04-19,0,0,0,0,0,0
2014-04-20,0,0,0,0,0,0
2014-04-21,0,0,0,0,0,0
2014-04-22,0,0,0,0,0,0
2014-04-23,0,0,0,0,0,0
2014-04-24,0,0,0,0,0,0
2014-04-25,0,0,0,0,0,0
2014-04-26,0,0,0,0,0,0
2014-04-27,0,0,0,0,0,0
2014-04-28,0,0,0,0,0,0
2014-04-29,0,0,0,0,0,0
2014-04-30,0,0,0,0,0,0
2014-05-01,0,0,0,0,0,0
2014-05-02,0,0,0,0,0,0
2014-05-03,0,0,0,0,0,0
2014-05-04,0,0,0,0,0,0
2014-05-05,0,0,0,0,0,0
2014-05-06,0,0,0,0,0,0
2014-05-07,0,0,0,0,0,0
2014-05-08,0,0,0,0,0,0
2014-05-09,0,0,0,0,0,0
2014-05-10,0,0,0,0,0,0
2014-05-11,0,0,0,0,0,0
2014-05-12,0,0,0,0,0,0
2014-05-13,0,0,0,0,0,0
2014-05-14,0,0,0,0,0,0
2014-05-15,0,0,0,0,0,0
2014-05-16,0,0,0,0,0,0
2014-05-17,0,0,0,0,0,0
2014-05-18,0,0,0,0,0,0
2014-05-19,0,0,0,0,0,0
2014-05-20,0,0,0,0,0,0
2014-05-21,0,0,0,0,0,0
2014-05-22,0,0,0,0,0,0
2014-05-23,0,0,0,0,0,0
2014-05-24,0,0,0,0,0,0
2014-05-25,0,0,0,0,0,0
2014-05-26,0,0,0,0,0,0
2014-05-27,0,0,0,0,0,0
2014-05-28,0,0,0,0,0,0
2014-05-29,0,0,0,0,0,0
2014-05-30,0,0,0,0,0,0
2014-05-31,0,0,0,0,0,0
2014-06-01,0,0,0,0,0,0
2014-06-02,0,0,0,0,0,0
2014-06-03,0,0,0,0,0,0
2014-06-04,0,0,0,0,0,0
2014-06-05,0,0,0,0,0,0
2014-06-06,0,0,0,0,0,0
2014-06-07,0,0,0,0,0,0
2014-06-08,0,0,0,0,0,0
2014-06-09,0,0,0,0,0,0
2014-06-10,0,0,0,0,0,0
2014-06-11,0,0,0,0,0,0
2014-06-12,0,0,0,0,0,0
2014-06-13,0,0,0,0,0,0
2014-06-14,0,0,0,0,0,0
2014-06-15,0,0,0,0,0,0
2014-06-16,0,0,0,0,0,0
2014-06-17,0,0,0,0,0,0
2014-06-18,0,0,0,0,0,0
2014-06-19,0,0,0,0,0,0
2014-06-20,0,0,0,0,0,0
2014-06-21,0,0,0,0,0,0
2014-06-22,0,0,0,0,0,0
2014-06-23,0,0,0,0,0,0
2014-06-24,0,0,0,0,0,0
2014-06-25,0,0,0,0,8,1
2014-06-26,0,0,0,0,5,0
2014-06-27,0,0,0,1,3,0
2014-06-28,0,0,0,0,4,0
2014-06-29,0,0,0,0,4,0
2014-06-30,0,5,0,0,3,0
2014-07-01,2,4,0,1,2,0
2014-07-02,5,10,180,0,5,181
2014-07-03,2,4,0,2,2,0
2014-07-04,1,4,0,1,4,0
2014-07-05,0,2,0,3,5,0
2014-07-06,0,4,0,1,5,1
2014-07-07,0,5,0,0,3,0
2014-07-08,0,3,0,1,4,1
2014-07-09,1,4,178,3,7,179
2014-07-10,0,5,0,2,5,0
2014-07-11,0,1,0,2,7,0
2014-07-12,0,3,0,0,3,0
2014-07-13,0,3,0,2,7,1
2014-07-14,0,3,0,0,3,0
2014-07-15,3,4,0,1,5,0
2014-07-16,1,4,174,3,3,182
2014-07-17,0,6,2,0,5,0
2014-07-18,1,5,2,3,4,0
2014-07-19,1,2,0,0,8,0
2014-07-20,0,3,0,0,6,0
2014-07-21,0,9,0,3,4,1
2014-07-22,1,1,0,2,6,6
2014-07-23,2,4,177,1,7,178
2014-07-24,0,3,0,0,2,0
2014-07-25,1,6,0,0,7,2
2014-07-26,1,14,0,0,6,1
2014-07-27,1,2,0,0,4,0
2014-07-28,0,2,0,0,3,0
2014-07-29,0,4,2,0,5,0
2014-07-30,0,4,177,1,6,184
2014-07-31,0,4,2,1,2,2
2014-08-01,0,3,0,0,3,0
2014-08-02,1,3,0,0,6,0
2014-08-03,0,2,0,0,3,0
2014-08-04,0,3,0,0,2,0
2014-08-05,0,2,0,0,3,0
2014-08-06,0,3,1,0,4,1
2014-08-07,0,5,0,1,6,0
2014-08-08,1,6,0,1,9,0
2014-08-09,0,8,0,3,11,0
2014-08-10,3,10,0,3,9,0
2014-08-11,3,14,0,2,15,0
2014-08-12,3,8,0,3,10,0
2014-08-13,2,8,1,2,8,1
2014-08-14,4,10,0,2,11,0
2014-08-15,3,7,0,2,14,0
2014-08-16,2,8,0,2,14,0
2014-08-17,3,10,0,3,10,0
2014-08-18,3,12,0,2,9,0
2014-08-19,3,9,0,2,7,0
2014-08-20,2,12,1,2,9,1
2014-08-21,3,8,0,3,9,0
2014-08-22,3,9,0,3,6,0
2014-08-23,3,8,0,3,10,0
2014-08-24,3,8,0,3,11,0
2014-08-25,3,9,0,1,13,0
2014-08-26,3,7,0,1,11,0
2014-08-27,3,6,1,2,11,1
2014-08-28,0,6,0,0,9,0
2014-08-29,0,4,0,0,3,0
2014-08-30,0,0,0,0,1,0
2014-08-31,0,1,0,0,2,0
2014-09-01,0,1,0,2,1,0
2014-09-02,1,0,0,1,7,0
2014-09-03,1,2,174,1,3,174
2014-09-04,2,4,0,2,7,1
2014-09-05,0,1,1,1,2,0
2014-09-06,0,3,0,1,2,0
2014-09-07,2,3,0,2,7,0
2014-09-08,2,2,0,2,5,2
2014-09-09,3,4,0,3,7,1
2014-09-10,4,5,177,3,5,174
2014-09-11,2,3,0,3,1,0
2014-09-12,2,4,2,3,4,0
2014-09-13,1,3,0,2,4,0
2014-09-14,2,3,0,3,5,0
2014-09-15,2,2,0,2,3,0
2014-09-16,0,6,3,5,6,0
2014-09-17,2,3,182,2,3,182
2014-09-18,1,4,0,2,3,0
2014-09-19,3,3,0,3,4,0
2014-09-20,2,1,0,3,7,0
2014-09-21,1,4,0,4,4,0
2014-09-22,2,6,0,4,7,0
2014-09-23,5,4,0,2,6,0
2014-09-24,4,3,178,3,9,181
2014-09-25,3,4,3,2,7,0
2014-09-26,4,7,1,1,5,1
2014-09-27,3,5,0,3,6,1
2014-09-28,4,7,1,5,1,0
2014-09-29,4,3,0,1,2,3
2014-09-30,3,4,0,2,4,1
2014-10-01,3,3,181,3,5,181
2014-10-02,3,8,0,2,4,0
2014-10-03,3,12,6,2,8,1
2014-10-04,2,5,0,2,2,0
2014-10-05,2,5,1,4,4,0
2014-10-06,2,2,1,2,6,0
2014-10-07,2,5,0,2,3,0
2014-10-08,2,5,180,3,5,179
2014-10-09,3,6,1,1,6,0
2014-10-10,5,8,1,2,7,0
2014-10-11,2,5,0,3,2,1
2014-10-12,3,5,0,1,1,0
2014-10-13,2,6,0,2,1,0
2014-10-14,1,2,0,3,7,1
2014-10-15,7,3,181,3,6,184
2014-10-16,2,6,0,3,6,1
2014-10-17,2,8,2,0,2,1
2014-10-18,0,0,0,1,2,0
2014-10-19,1,2,0,0,4,0
2014-10-20,1,5,0,1,3,0
2014-10-21,1,4,0,0,4,0
2014-10-22,2,4,183,0,4,183
2014-10-23,1,3,1,0,4,0
2014-10-24,1,3,0,4,8,0
2014-10-25,1,8,0,2,4,0
2014-10-26,2,5,0,0,7,0
2014-10-27,1,1,0,1,3,5
2014-10-28,1,3,0,0,1,0
2014-10-29,2,4,188,0,5,185
2014-10-30,1,4,0,1,5,0
2014-10-31,1,8,0,1,11,0
2014-11-01,1,11,0,1,6,0
2014-11-02,1,9,0,1,7,0
2014-11-03,1,11,0,3,9,0
2014-11-04,1,11,0,1,9,0
2014-11-05,1,9,184,1,9,183
2014-11-06,1,6,0,1,10,0
2014-11-07,1,6,0,1,9,1
2014-11-08,1,8,0,1,9,0
2014-11-09,1,8,0,1,5,0
2014-11-10,0,7,0,1,9,1
2014-11-11,0,3,0,0,12,0
2014-11-12,0,9,183,0,13,181
2014-11-13,2,5,0,0,9,0
2014-11-14,1,10,0,1,9,0
2014-11-15,2,12,0,0,11,0
2014-11-16,2,10,0,3,14,0
2014-11-17,4,10,0,6,21,0
2014-11-18,2,10,0,4,14,0
2014-11-19,2,16,186,5,22,181
2014-11-20,5,15,0,4,11,0
2014-11-21,2,17,0,4,13,0
2014-11-22,3,20,0,5,17,0
2014-11-23,3,20,0,7,22,0
2014-11-24,3,12,0,1,13,0
2014-11-25,3,10,1,6,18,0
2014-11-26,3,13,183,3,16,188
2014-11-27,4,11,0,5,16,0
2014-11-28,2,14,0,4,12,0
2014-11-29,3,13,0,6,10,0
2014-11-30,3,12,0,6,20,0
2014-12-01,4,11,0,7,23,1
2014-12-02,4,13,1,6,17,0
2014-12-03,3,14,172,6,21,187
2014-12-04,4,13,1,4,13,0
2014-12-05,2,9,1,5,19,2
2014-12-06,4,13,1,3,20,0
2014-12-07,3,18,1,4,20,0
2014-12-08,2,13,0,3,16,0
2014-12-09,4,8,0,5,15,0
2014-12-10,8,16,183,2,18,187
2014-12-11,7,7,0,9,17,0
2014-12-12,4,13,0,5,18,1
2014-12-13,4,9,0,4,8,0
2014-12-14,4,9,0,5,18,0
2014-12-15,2,10,0,5,14,0
2014-12-16,4,7,0,7,8,0
2014-12-17,6,6,193,5,18,188
2014-12-18,4,10,0,7,13,1
2014-12-19,3,11,1,5,9,2
2014-12-20,10,8,4,6,22,2
2014-12-21,4,11,3,6,9,2
2014-12-22,6,7,1,9,15,2
2014-12-23,7,13,0,11,17,1
2014-12-24,5,15,190,3,5,188
2014-12-26,6,18,2,11,24,2
2014-12-27,8,16,1,11,20,2
2014-12-28,11,21,6,9,23,0
2014-12-29,8,20,1,7,15,2
2014-12-30,10,12,2,10,21,2
2014-12-31,9,14,193,7,11,187
2015-01-01,0,0,0,0,0,0
2015-01-02,2,13,0,1,16,0
